text,rating
"We had three wonderful nights at this Kasbah! Beautiful and big rooms with nice beds and clean bathrooms. The staff was super attentive and also family friendly. We had a great time swimming in the poo, relaxing in the cool rooms and enjoying the nice food after walking through the landscape.",5.0
"What a wonderful stay! Kasbah Ait Ben Damiette was beautiful, the rooms were spacious with wonderfully decorated. The bathrooms was large and very clean, and we were gifted the most wonderful set of rose beauty products! The Kasbah has many great spots to drink tea and relax. The food was very good too. The large outdoor pool, surrounded by shaded areas to relax, was very clean too. The staff was very friendly and accommodating. My family and me had the most amazing stay hiking in the area.",5.0
How sad we only had one night here. A stunning Casbah with a beautiful pool. We will return to Morocco and spend more time in this beautiful Kandahar. Highly recommended. The beds we seperate and narrow but got my best nights sleep in Morocco so it was a positive,5.0
"The accommodation was fantastic , the service was excellent , the local knowledge awesome and most of all the hospitality . Great pool , great food - best sleep ever . Nice French wine too . Everything was amazing and would highly recommend this",5.0
"We spent there one night during a tour off the high atlas. Beautifully decorated riad, peaceful and relaxing, good atmosphere and great service. We loved the place and enjoyed our stay there. Highly recomended",5.0
"We stayed one night in this facility. What a great experience!! Everything was perfect)) the casba is run by a French couple, they are great hosts, friendly and attentive. And what an incredible cook the lady of the house is!! The husband is fun and creative, always keen to learn new languages and talk to guests) Highly recommended to stay here.",5.0
"Discovered the place by chance while looking for another Casbah on google maps. The place looked amazing from the outside, and does not disappoint on the inside. Great food and great service from the hosts.  I was especially glad that they served beer and Vine. Great for relaxing after a long day on the motorbike",5.0
"A charming little hotel with pool led by a french family. Excellent service and food (french Moroccan fusion). The dinner and breakfast we had was one of the best of our 2 weeks trip. They have good Moroccan wine and make their own confiture.  The rooms a spacious, spotlessly clean and furnished in a lovely Moroccan style. Thanks for everything! Felix and Werner",5.0
"We stayed here for 2 nights. The folks in the Damiette family (Mme. Colette, Mr. Yannick and Mr. Erwann) are the most gracious hosts! The entire place was decorated with charming and thoughtful touches inspired by the local architecture. Our room was elegant, spacious and comfortable. The swimming pool surrounded by olives and mint, is a beauty to sit by and sip on some Moroccan tea. Our special and heartfelt appreciation to Mr. Majid and Mr. Redouan. They are part of the wonderful staff and treated us like family during our stay. They were so helpful and a joy to be around! Mme. Colette has magic in her hands. She and her staff whipped up delicious dishes from the kitchen and it was a treat to partake in them. Shukran and au revior!",5.0
"Stayed here for a night on the way from Marrakech to Merzouga. Yannick, Collette and staff were incredibly warm and attentive hosts. The rooms was large and comfortable. Great roof on which to relax and take in the sunset. Would come back",5.0
"Very beautiful hotel in the middle of nowhere. Beautiful and stunning gardens and grounds. Very welcoming French couple operate the place. Great mix of Moroccan and French decor and cuisine. I had a bit of a cold and they made me a special brew.  I wish we could have stayed longer, but it was quick overnight stay and then onto the desert.",5.0
"This is a beautiful Kasbah run by a French couple . The rooms are very comfortable  The Dinner and Breakfast provided was amazing.  We had mint tea near the swimming pool and the view is really nice.. The French couple and their team is very friendly, warm and showed great hospitality. Felt like home. We also went up the terrace to gaze at the stars.",5.0
"Our family spent a night here on our way from Ouarzazate to Merzouga - it was the most wonderful experience. Everyone was friendly and they put in extra effort at dinner and breakfast to accommodate the children. The food is spectacular also. Overall, if you are ever in the area don’t hesitate to stay here. Highly recommend.",5.0
"Wonderful location managed by a French family, very good breakfast and dinner, as well as beautiful and comfortable rooms.  They offer wine and beers. We spend just a night in this Kasbah, we strongly suggest to spent some days there.  ",5.0
What a beautiful place. The family that run the place is adorable. They received us with open arms and heart. The place is so hommy. The food excellent. The swimming pool was amazing. The Terrace. Every corner in the big dar was absolutely beautiful. We had dinner and breakfast and enjoyed them very much. At the time of leaving the all family came to say bye and waved to us. We can feel how much they love what they are doing!,5.0
"This place is incredible.  So much attention to detail.  Totally gorgeous.  Super relaxing. Quiet.  Serene rooftop.  I don't usually swim a lot, but taking a dip after a hot day driving and walking was pretty glorious.  The staff, in particular Majid, were all kind and attentive.  The food was incredible - gourmet, filling, and they took care to accommodate my gluten allergy.  It was sad to leave after one night.  Wish we could have stayed longer!!!",5.0
"This is a wonderful Kasbah in Skoura.  From the moment we arrived until the moment we left, the service was top notch.  The grounds, common areas and rooms were impeccably maintained.  We enjoyed dinner the night we arrived and it was outstanding, we will be hard pressed to find another dinner on this trip to rival the flavours and presentation.  We were also delighted to be offered an excellent Moroccan red wine with our meal.  We also purchased some additional bottles to take along for the rest of our trip.  Breakfast the next morning was also exceptional, crepes, eggs and yogurt, with a delicious array of preserves prepared with fruit from their own trees.  I highly recommend Kasbah Ait Ben Daimette, you will not be disappointed!",5.0
"Our expectations for our trip around Morocco were taken to the next level by staying at this fabulous small hotel. I doubt any riad will live up to this standard. As well as being affordable, it is beautiful, clean, large, comfortable and offers top notch service. The owners have created a genuine oasis with a pool and gardens.  They grow their own fruit and serve lovely preserves with breakfast. We chose to eat dinner there (it is not just a bed and breakfast) and it was the best meal of our trip, with a small wine selection! They even accommodated my need for gluten free food by making me delicious substitutions. Cannot recommend this privately owned hotel highly enough. ",5.0
"My father and I's stay at the Kasbah Ait Ben Damiette was incredible! The Kasbah is an incredible building with beautiful gardens, a pool, lots of nice places to sit and drink tea, a roof where we got to watch the sun set over the oasis, and a restaurant serving delicious food! The staff were very friendly and welcoming! Our room was lovely. In the evening we got to explore the area around the Kasbah, walking through the oasis and getting to meet children coming out of school. The whole stay was a magical experience!",5.0
The family that runs this hotel provided the most wonderful service during our stay.    Add to this the incredible meals they prepared for us and the charming rooms we stayed in and we are so grateful our travels took us through Skoura on the way to the Sahara Desert!!!,5.0
"The family (from Bretagne) that runs this bijoux is lovely, funny, service oriented and runs a great cuisine (kudos to Colette). The place is clean, nicely furnished, has big rooms and set in a great scenery. We made a bike tour with a local guide, that also contributed to the great experience in Skoura. ",5.0
"Staying at this hotel was an amazing experience.  They treated us like family and the owners and all the staff were super friendly. They even washed our car that was covered in mud!  The facilities are excellent.  We had two rooms that were both exquisitely decorated.  We stayed in one of the towers and essentially had the tower all to ourselves.  There is ping pong and petanque (a game like bacci) as well as a nice pool.  The gardens are beautiful, and we ate both dinner and breakfast in the garden.  Collette is an amazing cook!  The food was not only delicious but beautifully presented.  We can't say enough good things about our experience at Kasbah Ait Ben Daimatte!",5.0
"We stayed at this beautiful Kasbah on our way to the desert. We were amazed by the beautiful grounds and service. While the place itself is stunning with a luxurious swimming pool and beautiful gardens, the service made this hotel the best of our whole trip! The French couple who own and run it are as funny as they are gracious and hand cook every delicious meal. Truly a can’t-miss experience!",5.0
My friends and I stayed here for one night when we were heading to Marrakech (from the Sahara Desert).   We highly recommend this place to anyone who wants a charming and beautiful place but still wants to feel like he/she is at home.   Hosts hospitality is definitely the best! They were 100% helpful since the moment we met them.   They prepared us such a tasteful diner and were careful enough to do a different plate for one of our friends who was allergic to some ingredients.  We absolutely loved house’s decoration and the bed is unbelievable comfortable.   Thank you for everything! ,5.0
"We stayed one night here on our way back to Casablanca.  The owners were so welcoming, and make you feel like one of the family.  The rooms are spacious and beautiful.  The dinner and breakfast were delicious and beautifully presented.  As we left, they waved goodbye and we all commented on how we felt like we had just spent a night with family.  Highly recommended!",5.0
Very friendly staff! You feel like part of their family. The food is delicious and they accommodate any dietary needs. The rooms are different cities which gives you a feeling of Moroccan nostalgia. It’s truly a hidden gem. ,5.0
"We stumbled on this guesthouse in Skoura and had an absolutely marvellous experience. The traditional rooms are well equipped, clean and comfortable and the common areas are neat, clean and nice atmosphere. We only ate at the hotel for breakfast because we had to be with a group a different hotel and I am sorry we missed out on the food. The kitchen smelled heavenly and the food looked delicious.  The best part of this hotel however is the family that owns it. They introduce themselves and were super friendly. The service was flawless and they greet us whenever we returned and bade us goodbye whenever we departed.  I would love to come to visit for a stay so I can try the food and also to enjoy more time with the family!",5.0
"Set in the dusty streets of Skoura this hotel provides a welcome respite from travel.  Our room, number 14, was large and clean.  The staff were very helpful and friendly and our evening meal was really enjoyable.  We didn't have time to try the pool but it looked inviting.",4.0
"We had the nicest stay with Yannick & Colette and their superb staff team at Kasbah Ait Ben Damiette as part of a longer trip through the Sahara. They've clearly put so much thought into their beautiful guesthouse - the food & wine was delicious, and the house itself feels so peaceful and one-of-a-kind. We wish we could have stayed longer! Would highly recommend if traveling through the area, and I hope to make it back soon.",5.0
"We were warmly greeted by the French family who runs this place.  We had hearty home cooked dinner before we retired to our cosy bedrooms with 4-poster beds. Wifi is very spotty albeit caused by the thick walls. The bed was very comfortable and the sofa in the room was very comfy too. Ben and the service staff was full of initiative, always checking if our plates are empty,  if we have enough hot tea.  Thanks,  Ben, Damiette and everyone at the kasbah.",5.0
